reason,dataset_id,dataset_name,platform,species,tissue,data_access_link,original_publication,original_publication_link
landing page or accession only - no direct file URL resolved,stahl2016_spatial_tran,Mouse olfactory bulb spatial transcriptomic dataset,Spatial Transcriptomics (barcoded microarray),Mouse,Olfactory bulb,https://www.spatialresearch.org/resources-published-datasets/,"Stahl et al., Visualization and analysis of gene expression in tissue sections by spatial transcriptomics, Science (2016)",https://doi.org/10.3410/f.726472001.793554182
landing page or accession only - no direct file URL resolved,cao2019_scrnaseq,Mouse organogenesis cell atlas (MOCA) / E13.5 scRNA-seq data,scRNA-seq,mouse,embryo,https://oncoscape.v3.strtcancer.org/atlas.gs.washington.edu.mouse.rna/downloads,"Cao et al., The single-cell transcriptional landscape of mammalian organogenesis, Nature (2019)",https://doi.org/10.1038/s41586-019-0969-x
landing page or accession only - no direct file URL resolved,chen2022_mosta_stereoseq,Mouse organogenesis spatiotemporal atlas (MOSTA),Stereo-seq,mouse,embryo,https://db.cngb.org/stomics/mosta/,"Chen et al., Cell 185, 1777-1792 (2022)",https://doi.org/10.1016/j.cell.2022.04.003
landing page or accession only - no direct file URL resolved,chen2022_stereo,Mouse organogenesis spatiotemporal transcriptomic atlas (MOSTA) dataset / Mouse embryo E9.5 dataset,Stereo-seq,mouse,olfactory bulb,CNGBdb (CNP0001543) / MOSTA,"Chen et al., Spatiotemporal transcriptomic atlas of mouse organogenesis using DNA nanoball-patterned arrays, Cell (2022)",https://doi.org/10.3410/f.742107472.793593483
landing page or accession only - no direct file URL resolved,he2021_starmap,Mouse placenta STARmap data,STARmap,mouse,placenta,10.24433/CO.6072400.v1,"He et al., ClusterMap for multi-scale clustering analysis of spatial gene expression, Nat. Commun. (2021)",
landing page or accession only - no direct file URL resolved,mouse_posterior__visium,Mouse posterior brain dataset,10x Genomics Visium,Mouse,Brain,https://support.10xgenomics.com/spatial-gene-expression/datasets/1.0.0/V1_Mouse_Brain_Sagittal_Posterior,,
landing page or accession only - no direct file URL resolved,chatterjee2018_unknown,Mouse pre-optic region,,Mouse,,GSE113576,"Chatterjee et al., Nontoxic, double-deletion-mutant rabies viral vectors for retrograde targeting of projection neurons, Nat Neurosci (2018)",https://doi.org/10.3410/f.732793418.793543979
landing page or accession only - no direct file URL resolved,mouse_raw_and_an_slideseq,Mouse raw and annotated spatial transcriptomics data,Slide-seqV2,mus musculus,kidney,DUOS: DUOS-000138,,
landing page or accession only - no direct file URL resolved,mouse_sagittal_p2025_visium,Mouse sagittal posterior brain slice (serial section 1),Visium,mouse,brain (sagittal posterior),https://www.10xgenomics.com/datasets/mouse-brain-section-coronal-1-standard,Image guided construction of a common coordinate framework for spatial transcriptome data,https://doi.org/10.1038/s41598-025-01862-x
landing page or accession only - no direct file URL resolved,zhou2023_snmcseq,Mouse single-nucleus methylation sequencing (snmC-seq) with retroviral tracing dataset,snmC-seq,Mouse,Brain,GSE230782,"Zhou et al., Brain-wide correspondence of neuronal epigenomics and distant projections, Nature (2023)",
landing page or accession only - no direct file URL resolved,zhou2023_singlenucleu,Mouse single-nucleus methylation sequencing (snmC-seq) with retroviral tracing dataset,Single-nucleus methylation sequencing (snmC-seq),Mouse,Brain (Hippocampus and retrohippocampus),GSE230782,"Zhou et al., Brain-wide correspondence of neuronal epigenomics and distant projections, Nature (2023)",
landing page or accession only - no direct file URL resolved,zhou2023_snmcseq_with,Mouse single-nucleus methylation sequencing (snmC-seq) with retroviral tracing dataset,snmC-seq with retroviral tracing,mouse,hippocampus and retrohippocampus,GSE230782,"Zhou et al., Brain-wide correspondence of neuronal epigenomics and distant projections, Nature (2023)",
landing page or accession only - no direct file URL resolved,mouse_visual_cor_starmap,Mouse visual cortex dataset,STAR-map,mouse,visual cortex,https://github.com/QuKunLab/SpatialBenchmarking/tree/main/FigureData/Figure4/Dataset10_STARmap,,
landing page or accession only - no direct file URL resolved,codeluppi2018_mfish,Mouse visual cortex osmFISH data,mFISH,Mouse,Visual cortex,http://linnarssonlab.org/osmFISH,"Codeluppi et al., Spatial organization of the somatosensory cortex revealed by osmFISH, Nat Methods (2018)",https://doi.org/10.1038/s41592-018-0175-z
landing page or accession only - no direct file URL resolved,zhu2018_seqfish,Mouse visual cortex seqFISH dataset,seqFISH,mouse,visual cortex,https://bitbucket.org/qzhu/smfish-hmrf/src/master/,"Zhu et al., Identification of spatially associated subpopulations by combining scRNAseq and sequential fluorescence in situ hybridization data, Nat Biotechnol (2018)",https://doi.org/10.1038/nbt.4260
landing page or accession only - no direct file URL resolved,tasic2018_unknown,Mouse visual cortex stPlus,,Mouse,neocortex,GSE115746,"Tasic et al., Shared and distinct transcriptomic cell types across neocortical areas, Nature (2018)",
landing page or accession only - no direct file URL resolved,lin2022multiplexed,Multiplexed 3D atlas of state transitions and immune interaction in colorectal cancer,CODEX,human,colorectal,https://humantumoratlas.org/explore,Multiplexed 3D atlas of state transitions and immune interaction in colorectal cancer,https://www.sciencedirect.com/science/article/pii/S0092867422015719
landing page or accession only - no direct file URL resolved,chi2021_bulk_rnaseq,Murine liver bulk RNA-seq dataset,bulk RNA-seq,mouse,liver,GSE137385,"Chi et al., Comparative impact of dietary carbohydrates on the liver transcriptome in two strains of mice, Physiol. Genomics (2021)",https://doi.org/10.1152/physiolgenomics.00053.2021
landing page or accession only - no direct file URL resolved,kim2020_cosmx,NanoString_GSE,NanoString CosMx SMI,,,https://nanostring.com/products/cosmx-spatial-molecular-imager/ffpe-dataset/,"Kim et al., Single-cell RNA sequencing demonstrates the molecular and cellular reprogramming of metastatic lung adenocarcinoma, Nature communications (2020)",https://doi.org/10.1038/s41467-020-16164-1
landing page or accession only - no direct file URL resolved,nanostring_cosmx_cosmx,Nanostring CosMx NSCLC,Nanostring CosMx,Human,Non-small cell lung cancer tissue,https://nanostring.com/products/cosmx-spatial-molecularimager/ffpe-dataset/nsclc-ffpe-dataset/,,
landing page or accession only - no direct file URL resolved,navarro2020_visium,"Navarro et al., Visium, Brain",Visium,,,https://10.17632/6s959w2zyr.1,"Navarro et al., Spatial transcriptomics reveals genes associated with dysregulated mitochondrial functions and stress signaling in Alzheimer disease, iScience (2020)",https://doi.org/10.1016/j.isci.2020.101556
landing page or accession only - no direct file URL resolved,wang2023_imc_2,NeoTRIP imaging mass cytometry dataset,IMC,human,tumor tissue (triple negative breast cancer),https://zenodo.org/records/7990870,"Wang et al., Spatial predictors of immunotherapy response in triple-negative breast cancer, Nature (2023)",
landing page or accession only - no direct file URL resolved,cho2021_seqscope_no,"NovaScope dataset (N3_B08C_v2b, N3_B08C_v2bu, N3_B08C_v2c, N3_B08C_v2cu, N3_B08C_v2a)",Seq-Scope / NovaScope,,,https://seqscope.github.io/NovaScope/getting_started/access_data/,"Cho et al., Microscopic examination of spatial transcriptome using Seq-Scope, Cell (2021)",https://doi.org/10.1016/j.cell.2021.05.010
landing page or accession only - no direct file URL resolved,kim2025_novascope_se,"NovaScope dataset (N3_B08C_v2b, N3_B08C_v2bu, N3_B08C_v2c, N3_B08C_v2cu, N3_B08C_v2a)",NovaScope / Seq-Scope,,,https://seqscope.github.io/NovaScope/getting_started/access_data/,"Kim et al., Seq-scope protocol: repurposing illumina sequencing flow cells for high-resolution spatial transcriptomics, Nature Protocols (2025)",
landing page or accession only - no direct file URL resolved,chen2025_unknown,OmiCLIP-ST,,,,https://github.com/hrlblab/computer_vision_spatial_omics,"Chen et al., A visual–omics foundation model to bridge histopathology with spatial transcriptomics, Nature Methods (2025)",https://doi.org/10.1038/s41592-025-02707-1
landing page or accession only - no direct file URL resolved,hickey2023organization,Organization of the human intestine at single-cell resolution,CODEX,human,,https://datadryad.org/stash/dataset/doi:10.5061/dryad.gmsbcc2sq,Organization of the human intestine at single-cell resolution,https://www.nature.com/articles/s41586-023-05915-x
landing page or accession only - no direct file URL resolved,codeluppi2018_cyclic_smfis,OsmFISH,cyclic smFISH,mouse,mouse somatosensory cortex,http://linnarssonlab.org/osmFISH/,"Codeluppi et al., Spatial Organization of the Somatosensory Cortex Revealed by Osmfish, Nat. Methods (2018)",https://doi.org/10.1038/s41592-018-0175-z
landing page or accession only - no direct file URL resolved,denisenko2024_visium,Ovarian cancer,10x Genomics Visium,human,ovarian cancer,https://www.nature.com/articles/s41467-024-47271-y,"Denisenko et al., Spatial transcriptomics reveals discrete tumour microenvironments and autocrine loops within ovarian cancer subclones, Nature Communications (2024)",https://doi.org/10.1038/s41467-024-47271-y
landing page or accession only - no direct file URL resolved,han2025_spatial_tran,P14 mouse brain development spatial transcriptomics section,spatial transcriptomics,mouse,brain,https://doi.org/10.12412/BSDC.1699433096.20001,"Han et al., Single-cell spatial transcriptomic atlas of the whole mouse brain, Neuron (2025)",
landing page or accession only - no direct file URL resolved,pbmc_raji_and_t__molecular_pi,"PBMC, Raji, and T cell datasets",Molecular Pixelation (MPX) by sequencing,Human,"Peripheral blood mononuclear cells (PBMCs) and cell lines (Raji, Jurkat, Daudi)",10.1038/s41592-024-02268-9,,
landing page or accession only - no direct file URL resolved,shiau2024_cosmx,PDAC,CosMx,,pancreas,10.17632/kx6b69n3cb.1,"Shiau et al., Spatially resolved analysis of pancreatic cancer identifies therapy-associated remodeling of the tumor microenvironment, Nat. Genet. (2024)",
landing page or accession only - no direct file URL resolved,moncada2020_unknown,PDAC-A (Pancreatic ductal adenocarcinoma) dataset,,human,pancreatic ductal adenocarcinoma,http://cancersrt.info/Download,"Moncada et al., Integrating microarray-based spatial transcriptomics and single-cell RNA-seq reveals tissue architecture in pancreatic ductal adenocarcinomas, Nat Biotechnol (2020)",https://doi.org/10.3410/f.737201328.793570113
landing page or accession only - no direct file URL resolved,photon_granulosa2024_illumina,PHOTON Granulosa Cell Transcriptome Dataset,Illumina,mouse,ovary,PRJNA1152621,Subcellular Level Spatial Transcriptomics with PHOTON,https://doi.org/10.1101/2024.09.10.612328
landing page or accession only - no direct file URL resolved,photon_datasets__illumina,"PHOTON datasets (GCs, nucleolus, stress granules)",Illumina,mouse and human,ovary and cultured cells,PRJNA1152621,,
landing page or accession only - no direct file URL resolved,halpern2018_paired_cell,Paired Cell Sequencing Liver Endothelial Cells,Paired cell sequencing,mouse,liver,GSE108561,"Halpern et al., Paired-cell sequencing enables spatial gene expression mapping of liver endothelial cells, Nat Biotechnol (2018)",https://doi.org/10.1038/nbt.4231
landing page or accession only - no direct file URL resolved,halpern2018_pairedcell_s,Paired-cell sequencing data,paired-cell sequencing,mouse,liver,GSE108561,"Halpern et al., Paired-cell sequencing enables spatial gene expression mapping of liver endothelial cells, Nat. Biotechnol. (2018)",https://doi.org/10.1038/nbt.4231
landing page or accession only - no direct file URL resolved,schrch2020_codex,Pan-cancer dataset (University of Bern),CODEX,,Colorectal cancer (CRC),10.17632/mpjzbtfgfr.1,"Schürch et al., Coordinated cellular neighborhoods orchestrate antitumoral immunity at the colorectal cancer invasive front, Cell (2020)",https://doi.org/10.3410/f.738443857.793579086
landing page or accession only - no direct file URL resolved,parent_visium_hu2025_visium,Parent_Visium_Human_BreastCancer,Visium,human,Breast cancer,http://bio-bigdata.hrbmu.edu.cn/SPathDB/,SPathDB: a comprehensive database of spatial pathway activity atlas,https://doi.org/10.1093/nar/gkae1041
landing page or accession only - no direct file URL resolved,liu2022_unknown,Phalaenopsis dataset,,Phalaenopsis (orchid),orchid inflorescence tissue,https://db.cngb.org/stomics/datasets/STDS0000149,"Liu et al., A spatiotemporal atlas of organogenesis in the development of orchid flowers, Nucleic Acids Res (2022)",https://doi.org/10.1093/nar/gkac773
landing page or accession only - no direct file URL resolved,pkd1_rc_rc_and_i2025_visium,Pkd1 RC/RC and Ift88 spatial transcriptomics dataset,10X Visium,mouse,kidney,GSE299863,A cross model spatial and single-cell atlas reveals the conserved involvement of osteopontin in polycystic kidney disease,https://doi.org/10.1101/2025.09.17.676846
landing page or accession only - no direct file URL resolved,cui2023_visium,Planarian regeneration dataset,10x Visium,Schmidtea mediterranea,planarian,https://ngdc.cncb.ac.cn/omix/release/OMIX003867,"Cui et al., Spatiotemporal transcriptomic atlas reveals the dynamic characteristics and key regulators of planarian regeneration, Nat Commun (2023)",https://doi.org/10.1038/s41467-023-39016-0
landing page or accession only - no direct file URL resolved,schnitzler2024_10x_genomics,Previously generated live-cell scRNA-seq dataset,10X Genomics,Hydractinia symbiolongicarpus,"Feeding polyp, sexual polyp, and stolon tissue",PRJNA1263849,"Schnitzler et al., The genome of the colonial hydroid Hydractinia reveals that their stem cells use a toolkit of evolutionarily shared genes with all animals, Genome Res. (2024)",https://doi.org/10.1242/prelights.35599
landing page or accession only - no direct file URL resolved,wu2021_singlecell_r,Primary breast cancer scRNA-seq dataset (CID4530N and CID4535),Single-cell RNA-seq (scRNA-seq),Human,Primary breast cancer,https://ega-archive.org/datasets/EGAD00001007495,"Wu et al., A single-cell and spatially resolved atlas of human breast cancers, Nat Genet (2021)",
landing page or accession only - no direct file URL resolved,wu2021_unknown_4,Primary liver cancer (PLC) SRT datasets (ICC-1L/HCC-1L/HCC-2L/HCC-3L/HCC-4L/cHC-1L),,human,liver (primary liver cancer),GSA: HRA000437,"Wu et al., Comprehensive analysis of spatial architecture in primary liver cancer, Sci. Adv. (2021)",
